148076,771
149078,769
150078,761
151078,755
152079,749
153079,744
154080,740
155080,736
156081,733
157081,729
158083,727
159083,723
160083,721
161084,718
162084,716
163085,714
164085,712
165086,710
166086,708
167088,707
168088,705
169089,703
170089,702
171089,701
172090,700
173090,699
174091,698
175091,697
176092,696
177093,695
178094,695
179094,694
180094,694
181095,693
182095,692
183096,692
184096,691
185097,691
186098,693
187099,693
188099,692
189100,690
190100,689
191100,688
192101,688
193101,687
194102,687
195102,687
196104,686
197104,685
198105,685
199105,684
200105,684
201106,683
202106,683
203107,682
204107,681
205109,681
206109,681
207110,680
208110,680
209111,679
210111,679
211111,678
212112,678
213112,678
214113,677
215114,677
216115,676
217115,676
218116,675
219116,675
220116,675
221117,674
222117,673
223118,673
224119,673
225120,672
226120,672
227121,672
228121,671
229122,671
230122,670
231122,670
232123,674
233124,683
234125,688
235125,691
236126,694
237126,696
238127,699
239127,701
240128,704
241128,707
242128,709
243130,711
244130,713
245131,715
246131,717
247132,718
248132,719
249133,721
250133,722
251133,724
252135,726
253135,727
254136,729
255136,731
256137,732
257137,733
258138,734
259138,735
260139,736
261139,737
262140,738
263141,739
264141,740
265142,741
266142,741
267143,743
268143,744
269144,744
270144,745
271145,746
272146,746
273146,747
274147,748
275147,749
276148,750
277148,750
278149,751
279149,752
280150,752
281151,752
282151,753
283152,753
284152,755
285153,757
286153,757
287154,757
288154,757
289155,757
290156,758
291156,758
292157,759
293157,759
294158,759
295158,759
296159,760
297159,760
298160,761
299160,761
300162,762
301162,762
302162,762
303163,763
304163,763
305164,764
306164,764
307165,765
